participant_id,block,sequence,period_1_condition,period_2_condition,period_1_task_order,period_2_task_order
P014,4,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P015,4,section-adaptive-uniform,section-adaptive,uniform,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P016,4,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P017,5,section-adaptive-uniform,section-adaptive,uniform,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P018,5,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P019,5,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P020,5,uniform-section-adaptive,uniform,section-adaptive,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P021,6,uniform-section-adaptive,uniform,section-adaptive,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P022,6,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P023,6,section-adaptive-uniform,section-adaptive,uniform,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P024,6,uniform-section-adaptive,uniform,section-adaptive,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P025,7,uniform-section-adaptive,uniform,section-adaptive,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P026,7,section-adaptive-uniform,section-adaptive,uniform,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P027,7,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P028,7,uniform-section-adaptive,uniform,section-adaptive,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P029,8,section-adaptive-uniform,section-adaptive,uniform,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P030,8,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P031,8,uniform-section-adaptive,uniform,section-adaptive,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P032,8,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P033,9,uniform-section-adaptive,uniform,section-adaptive,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P034,9,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P035,9,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P036,9,section-adaptive-uniform,section-adaptive,uniform,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P037,10,section-adaptive-uniform,section-adaptive,uniform,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P038,10,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P039,10,uniform-section-adaptive,uniform,section-adaptive,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P040,10,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P041,11,uniform-section-adaptive,uniform,section-adaptive,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P042,11,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P043,11,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P044,11,section-adaptive-uniform,section-adaptive,uniform,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P045,12,uniform-section-adaptive,uniform,section-adaptive,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P046,12,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P047,12,section-adaptive-uniform,section-adaptive,uniform,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P048,12,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P049,13,section-adaptive-uniform,section-adaptive,uniform,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P050,13,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P051,13,uniform-section-adaptive,uniform,section-adaptive,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P052,13,section-adaptive-uniform,section-adaptive,uniform,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P053,14,section-adaptive-uniform,section-adaptive,uniform,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P054,14,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P055,14,uniform-section-adaptive,uniform,section-adaptive,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P056,14,uniform-section-adaptive,uniform,section-adaptive,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P057,15,section-adaptive-uniform,section-adaptive,uniform,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P058,15,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P059,15,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P060,15,uniform-section-adaptive,uniform,section-adaptive,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P061,16,uniform-section-adaptive,uniform,section-adaptive,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P062,16,section-adaptive-uniform,section-adaptive,uniform,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P063,16,uniform-section-adaptive,uniform,section-adaptive,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P064,16,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P065,17,uniform-section-adaptive,uniform,section-adaptive,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P066,17,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P067,17,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P068,17,section-adaptive-uniform,section-adaptive,uniform,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P069,18,section-adaptive-uniform,section-adaptive,uniform,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P070,18,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P071,18,uniform-section-adaptive,uniform,section-adaptive,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P072,18,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P073,19,section-adaptive-uniform,section-adaptive,uniform,wifi|weather|checkin|activity|emergency|checkout|tickets|restaurant,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P074,19,uniform-section-adaptive,uniform,section-adaptive,weather|checkin|activity|emergency|checkout|tickets|restaurant|wifi,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
P075,19,section-adaptive-uniform,section-adaptive,uniform,checkin|activity|emergency|checkout|tickets|restaurant|wifi|weather,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P076,19,uniform-section-adaptive,uniform,section-adaptive,activity|emergency|checkout|tickets|restaurant|wifi|weather|checkin,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P077,20,uniform-section-adaptive,uniform,section-adaptive,emergency|checkout|tickets|restaurant|wifi|weather|checkin|activity,checkin|weather|wifi|restaurant|tickets|checkout|emergency|activity
P078,20,uniform-section-adaptive,uniform,section-adaptive,checkout|tickets|restaurant|wifi|weather|checkin|activity|emergency,wifi|restaurant|tickets|checkout|emergency|activity|checkin|weather
P079,20,section-adaptive-uniform,section-adaptive,uniform,tickets|restaurant|wifi|weather|checkin|activity|emergency|checkout,tickets|checkout|emergency|activity|checkin|weather|wifi|restaurant
P080,20,section-adaptive-uniform,section-adaptive,uniform,restaurant|wifi|weather|checkin|activity|emergency|checkout|tickets,emergency|activity|checkin|weather|wifi|restaurant|tickets|checkout
